,Name,UniversityName,City,Province,Contact,Others,Lat,Lon
69,浙江财经大学飞盘协会,浙江财经大学,杭州市,浙江,无,无,30.32018025,120.3964315
70,浙江大学飞盘协会,浙江大学,杭州市,浙江,微信号：zjuu-frisbee,无,30.26493029,120.1201468
71,浙江农林大学飞盘协会,浙江农林大学,杭州市,浙江,无,无,30.2427537,120.1583755
72,宁波理工学院飞盘协会,宁波理工学院,宁波市,浙江,无,无,29.81783185,121.5704186
73,宁波大学飞盘协会,宁波大学,宁波市,浙江,无,无,29.94472582,121.601199
74,浙江万里 Great Wow 飞盘队,浙江万里学院钱湖校区,宁波市,浙江,公众号：Great_WoW俱乐部联系人微信号：18012072244,无,29.81680454,121.5630963
75,合肥工业大学飞盘协会,合肥工业大学,合肥市,安徽,无,无,31.84763437,117.2955935
76,中国科学技术大 ustc 极限飞盘协会,中国科学技术大学,合肥市,安徽,公众号：中科大极限飞盘队bilibili：中科大极限飞盘队微信联系人：xiaomian666666666/18907139742,无,31.82215807,117.2806222
77,安徽工程AirHover飞盘队,安徽工程大学,芜湖市,安徽,公众号：AHPU-Ultimate抖音号：guli45845俱乐部联系人微信号：JONESBO17,无,31.33891162,118.4115293
78,芜湖职业技术学院飞盘协会,芜湖职业技术学院,芜湖市,安徽,无,无,31.277972,118.369302
79,集大无极极限飞盘队,集美大学,厦门市,福建,集美大学诚毅学院飞盘社团，目前和白鹭一起训练，联系人：张宇光（微信：yuguang1080）,无,24.58488326,118.0896144
80,厦门大学飞盘队,厦门大学,厦门市,福建,无,无,24.436343,118.102576
81,华东交大理工学院飞盘协会,华东交大理工学院,南昌市,江西,无,也是CUUA有但没找到相关信息。,28.70856631,115.8266642
82,南昌 NCU 飞盘队,南昌大学,南昌市,江西,微信号：gh_7f1fb1652eb1,无,28.68353839,115.9372504
83,南昌师范学院飞盘协会,南昌师范学院,南昌市,江西,南昌极限飞盘 南昌师范飞盘,无,28.63887033,115.8995986
84,山东体育大学飞盘协会,山东体育大学,济南市,山东,无,找到一个山东省飞盘运动协会，微信号：SD-SFDA,35.43631919,119.5312122
85,山东建筑大学飞盘协会,山东建筑大学,济南市,山东,无,无,36.66473309,117.0380841
86,北京电影学院现代创意媒体学院极限飞盘社,北京电影学院现代创意媒体学院,青岛市,山东,微信号：gh_53899a48ed63,无,35.972716,120.261115
87,山东政法 JN SPRING 飞盘队,山东政法学院,济南市,山东,公众号：济南极限飞盘SpringUltimateClub小红书：济南极限飞盘SpringClub俱乐部联系人微信号：JNSpringUltimateClub,无,36.65451709,117.0548477
88,郑州升昇達极限飞盘队,郑州升达经贸管理学院,郑州市,河南,微信号：SDUltimate666,无,34.59313162,113.6880222
89,西亚斯黄帝极限飞盘社,郑州西亚斯学院,郑州市,河南,微信号:黄帝极限飞盘社,无,34.39620174,113.7644231
90,郑州轻工业大学易斯顿美术学院极限飞盘协会,郑州轻工业大学易斯顿美术学院,郑州市,河南,微信号：gh_d1cc6ffee388,无,34.7214544,113.962995
91,湖北师范大学飞盘协会,湖北师范大学,黄石市,湖北,QQ群：713431187,无,30.23107536,115.0639756
92,中国地质大学（武汉）极限飞盘协会,中国地质大学（武汉）,武汉市,湖北,微信号：cugfeipan,无,30.52322744,114.3931422
93,中南财经政法大学 airwoo 极限飞盘社,中南财经政法大学,武汉市,湖北,无,没找到公众号，但是有微博账号 “武汉中南财经政法大学飞盘协会”,30.47521093,114.3945618
94,湖北工业大学极限拓展社,湖北工业大学,武汉市,湖北,无,没找到。,30.48189967,114.3107776
95,华科 firefly 飞盘队,华中科技大学,武汉市,湖北,无,归属学生会,30.51315217,114.4205545
96,武汉大学极限飞盘协会,武汉大学,武汉市,湖北,无,无公众号。,30.54611144,114.3568408
97,武汉理工大学 Air Lee 飞盘队,武汉理工大学,武汉市,湖北,无,无,30.59873066,114.3424844
98,华中师范大学极限飞盘协会,华中师范大学,武汉市,湖北,小鸿 | 微信号：zhanhong-CCNU,无,30.52248711,114.358257
99,湖南 Huda 飞盘队,湖南大学,长沙市,湖南,公众号：Huda飞盘 联系人微信：sz1909107335,无,28.20167955,112.9261947
100,中南大学极限飞盘协会,中南大学,长沙市,湖南,微信号：CSUfrisbee,无,28.16457807,112.9324564
101,湖南第一师范学院极限飞盘协会,湖南第一师范学院,长沙市,湖南,无,无公众号。,28.19979623,112.8694917
102,中南林业科技大学极限飞盘协会,中南林业科技大学,长沙市,湖南,无,无公众号。,28.13201336,112.9904408
103,湖南农业大学枭龙飞盘队,湖南农业大学,长沙市,湖南,公众号：湖南农业大学枭龙飞盘协会小红书：枭龙飞盘俱乐部联系人：dbdb227,无,28.18095753,113.0848709
104,长沙民政学院极限飞盘协会,长沙民政学院,长沙市,湖南,无,无公众号。,28.13729858,113.0169027
105,1970,湖南大学/中南大学,长沙市,湖南,联系人微信号yfanc_22 bella_5xb,无,28.20167955,112.9261947
106,莞工极限飞盘队,东莞理工学院,东莞市,广东,微信号：gh_14b3596c999d 微信号:denghahaha11,无,22.90584087,113.8695388
107,广东岭南职业技术学院飞盘协会,广东岭南职业技术学院,广州市,广东,微信号：LingNanUltimate,无,23.11269828,113.2423672
108,广东培正学院飞盘协会,广东培正学院,广州市,广东,微信号：PZUltimate,无,23.41219345,113.0846805
109,中山大学飞盘协会,中山大学,广州市,广东,微信号：gh_bd1be3b60de1（公众号名称：中大飞盘）,无,23.09660747,113.2987972
110,广州医科大学飞盘协会,广州医科大学,广州市,广东,无,无,23.13306617,113.2555171
111,广州大学 Alien 极限飞盘协会,广州大学,广州市,广东,微信号：GZUfrisbee,无,23.03586665,113.3849954
112,华南师范 SCNU 飞盘队,华南师范大学,广州市,广东,微信号：SCNU_FRISBEE,无,23.14136515,113.3458335
113,华南农业大学 AIR 极限飞盘协会,华南农业大学,广州市,广东,公众号：华南农业大学air极限飞盘协会微信号：SCAU-AIR2014,无,23.16080416,113.349253
114,中山大学南方学院飞盘协会,中山大学南方学院,广州市,广东,无,没有队社，现在有几个老师开设课程。,23.63520202,113.67404
115,广州体育学院飞盘协会,广州体育学院,广州市,广东,微信号：GT-Storm,无,23.14618804,113.3135277
116,广东外语外贸大学飞盘协会,广东外语外贸大学,广州市,广东,无,无,23.20295215,113.2865516
117,广州中医药大学飞盘协会,广州中医药大学,广州市,广东,无,无,23.06034503,113.4021975
118,华南理工 SCUT 极限飞盘队,华南理工大学,广州市,广东,公众号：SCUT华工飞盘,无,23.05909108,113.4009207
119,广工UFO极限飞盘队,广东工业大学,广州市,广东,微信号：GDUT_Ultimate,无,23.03360108,113.3973122
120,南科大飞盘社,南方科技大学,深圳市,广东,微信号：gh_1d0be4e28392,无,22.60046197,113.9944655
121,深圳大学 FRISBEE 极限飞盘协会,深圳大学,深圳市,广东,微信号: szufrisbee,无,22.59933637,113.9381047
122,香港中文大学（深圳）极限飞盘社,香港中文大学（深圳）,深圳市,广东,微信号：gh_853593e9d9e5 （公众号名称：LGU飞盘Ultimate）,无,22.69097288,114.2079241
123,深圳职业技术学院飞盘协会,深圳职业技术学院,深圳市,广东,无,无,22.59133173,113.9462398
124,北师珠 Griffins 极限飞盘队,北京师范大学珠海分校,珠海市,广东,微信号：BNUZ-Ultimate,无,22.3508439,113.5435626
125,北师大香港浸会联合国际学院 UIC-7,北师大香港浸会联合国际学院,珠海市,广东,微信号：uic_frisbee,无,22.34701975,113.5393605
126,广白 FLASH 极限飞盘社,广东白云学院,广州市,广东,无,无,23.27206952,113.2126765
127,广西科技大学极限飞盘协会,广西科技大学,柳州市,广西,无,无,24.33619038,109.4365714
128,广西科技大学鹿山学院飞盘协会,广西科技大学鹿山学院,柳州市,广西,无,无,24.36841695,109.5297344
129,广西民族大学飞盘协会,广西民族大学,南宁市,广西,无,无,22.8391017,108.1929971
130,重庆师范大学涉外商贸学院飞盘协会,重庆师范大学涉外商贸学院,重庆,重庆,微信号：gh_82f25ba0105c,无,29.85440578,106.0718518
131,重庆第二师范学院飞盘协会,重庆第二师范学院,重庆,重庆,微信号：gh_18a7714dc79f,无,29.51175371,106.5759801
132,重庆 CQUF 飞盘大队,重庆大学,重庆,重庆,微信号：chongdafrisbee,无,29.5650013,106.468097
133,重庆交通职业学院飞盘协会,重庆交通职业学院,重庆,重庆,无,无,29.40557,106.286268
134,西南交通大学极限飞盘协会,西南交通大学,成都市,四川,公众号从属学校,无,30.76726124,103.984351
135,电子科技大学飞盘协会,电子科技大学,成都市,四川,公众号从属学校,无,30.66262471,104.102134
136,四川大学影袭飞盘队,四川大学,成都市,四川,公众号从属学校,无,30.66572971,104.0715888
137,中飞院极限飞盘社,中国民用航空飞行学院,德阳市,四川,微信号：ZFYJXFP,无,30.95207504,104.3078226
138,大理大学飞盘协会,大理大学,大理市,云南,公众号从属学生会,无,25.67335905,100.1542053
139,西藏农牧学院飞盘协会,西藏农牧学院,林芝市,西藏,联系人：洪思征老师 | 微信号：wxid_b6gffylafqzt11,无,29.6692409,94.34056698
140,西安外事学院 pioneer 飞盘社,西安外事学院,西安市,陕西,公众号从属学校,无,34.23209026,108.8637328
141,西安欧亚学院极限飞盘协会,西安欧亚学院,西安市,陕西,公众号从属学校,无,34.17826443,108.9173268
142,西京学院极限飞盘协会,西京学院,西安市,陕西,公众号从属学校,无,34.13447509,108.9244297
143,西安文理学院极限飞盘协会,西安文理学院,西安市,陕西,微信号：gh_cb7b73ae05a0,无,34.21735758,108.9014576
144,西安石油大学羊蝎子飞盘队,西安石油大学,西安市,陕西,公众号归属学校,无,34.20050184,108.9253707
145,西安体育大学极限飞盘协会,西安体育大学,西安市,陕西,微信号：XT-Ultimate,无,34.23642386,108.9388103
146,西安交通大学极限飞盘协会,西安交通大学,西安市,陕西,微信号: XJTU_Frisbee,无,34.25286041,108.9832638
147,陕西科技大学镐京学院极限飞盘协会,陕西科技大学镐京学院,西安市,陕西,公众号归属学校,无,34.3048353,108.7200536
148,西北政法大学极限飞盘协会,西北政法大学,西安市,陕西,公众号归属学校,无,34.15595895,108.9112808
149,西安翻译学院极限飞盘协会,西安翻译学院,西安市,陕西,公众号归属学校,无,34.0222609,109.0141006
150,西安电子科技大学 UXDC 飞盘社,西安电子科技大学,西安市,陕西,无,无,34.12479925,108.8403988
151,西藏民族大学极限飞盘协会,西藏民族大学,咸阳市,陕西,公众号从属学校,无,34.35108854,108.7280454
152,兰州大学 LZU 飞盘队,兰州大学,兰州市,甘肃,无,无,36.04892491,103.8584314
153,兰州工业学院飞盘运动协会,兰州工业学院,兰州市,甘肃,无,无,36.052472,103.746587
154,银川科技逸达飞盘队,宁夏银川市银川科技学院,银川市,宁夏,公众号：逸达飞盘,无,38.51280809,106.1527086
155,宁大飞盘队,宁夏大学,银川市,宁夏,联系人微信号：mzqthu,无,38.502781,106.143847
156,伊犁师范学院极限飞盘协会,伊犁师范学院,伊犁哈萨克自治州市,新疆,公众号从属学校,无,44.42661858,84.87908583
157,无锡南外飞盘俱乐部,无锡南外国王国际学校,南京市,江苏,无,无,31.467535,120.305789
158, cheetahs,上海七宝德怀特高级中学,上海市,上海,微信号 j1836231881,无,31.13865282,121.3813715
159,包玉刚极限飞盘队,包玉刚实验学校,上海市,上海,俱乐部联系人微信号：qingfengbuguoer/jzy_13141210公众号：YKP Ultimate,无,31.03853216,121.1920897
160,WASH,上海尚德实验学校,上海市,上海,wechat：Kevnwithnoi,无,31.13676283,121.5950952
161,Nanmo Lions,上海民办南模中学,上海市,上海,校飞盘队联系人（主理人）微信号：18817750122,无,31.177441,121.445718
162,Pathfinder,上海阿德科特进修学校,上海市,上海,WX：Xovt712 or Astro_WANG_42,无,31.09470779,121.19643
163,Vapour,上海领科双语学校,上海市,上海,公众号： Vapour UCS联系人微信号：zk1399952061,无,31.13016804,121.3397147
164,Wolves,上海市万源城协和双语学校,上海市,上海,18016099762,无,31.14562453,121.3965334
165,SCLS WINGS,上海宋庆龄学校大,上海市,上海,校队联系人微信号：sunnysun20040721/mfxmfxmfx05（均可）,无,31.1419369,121.2412816
166,单县第五中学King飞盘俱乐部,单县第五中学北,菏泽市,山东,公众号：King极限飞盘/小红书：2683547411/俱乐部微信：zfx1158672464,无,34.76066556,116.0628553
167,WHBC Ultimate,武汉英中高级中学,武汉市,湖北,公众号：WHBC Ultimate,无,30.59588084,114.2181976
168,重庆枫叶Chargers,重庆枫叶国际学校,重庆,重庆,队伍队长微信号：w17623004602,无,29.34961891,105.9458418
